time,reference_position,reference_position_filtered,current_position,position_error,reference_velocity,current_velocity,feed_forward_velocity,velocity_error,integral_action,proportional_action,control_torque,
0.948215,0,0,0,0,0,0,0,0,8,0,8,
0.950155,0,0,0,0,0,0,0,0,8,0,8,
0.952601,0,0,0,0,0,0,0,0,8,0,8,
0.954364,0,0,0,0,0,0,0,0,8,0,8,
0.956209,0,0,0,0,0,0,0,0,8,0,8,
0.958232,0,0,0,0,0,0,0,0,8,0,8,
0.960106,0,0,0,0,0,0,0,0,8,0,8,
0.962091,0,0,0,0,0,0,0,0,8,0,8,
0.964169,0,0,0,0,0,0,0,0,8,0,8,
0.96607,0,0,0,0,0,0,0,0,8,0,8,
0.968075,0,0,0,0,0,0,0,0,8,0,8,
0.97007,0,0,0,0,0,0,0,0,8,0,8,
0.972074,0,0,0,0,0,0,0,0,8,0,8,
0.974069,0,0,0,0,0,0,0,0,8,0,8,
0.976074,0,0,0,0,0,0,0,0,8,0,8,
0.978058,0,0,0,0,0,0,0,0,8,0,8,
0.980054,0,0,0,0,0,0,0,0,8,0,8,
0.982052,0,0,0,0,0,0,0,0,8,0,8,
0.984054,0,0,0,0,0,0,0,0,8,0,8,
0.986066,0,0,0,0,0,0,0,0,8,0,8,
